"Data Collection: ID","Data Collection: Data Collection Name","Evaluating Laboratory Name","LabNamePermission","Type of Facility","Country","Other Country","City","Sample Set","Sample Type","Other Sample Type","Sample Population","Other Sample Population","Source Population of Samples","Other Source Population","Reference Method","Other Reference Method","RT-PCR","Reference Test Name","Type of Index Test","Repeats","Other Repeats","Blinding","Other Blinding","Type of Antibody Test","Other Type of Antibody Test","Name of Antibody Test_1","Name of Antibody Test other","AB:Manufacturer_1","AB:Manufacturer other","AB:Catalog Number","AB:Lot Number","Target Marker","Antigen Used for Detection","AB:Sample Type","Other Sample Type AB","AB:Use Case","Other Use Case","AB:Days of Sickness","AB:Total Positive","AB:Total Negative","AB:True Positive","AB:True Negative","AB:Sensitivity","AB:Specificity","AB:Total Positive_early","AB:Total Negative_early","AB:True Positive_early","AB:True Negative_early","AB:Sensitivity_early","AB:Specificity_early","AB:Total Positive_middle","AB:Total Negative_middle","AB:True Positive_middle","AB:True Negative_middle","AB:Sensitivity_middle","AB:Specificity_middle","AB:Total Positive_late","AB:Total Negative_late","AB:True Positive_late","AB:True Negative_late","AB:Sensitivity_late","AB:Specificity_late","AB:Estimated LoD","AB:LoD Unit","Other AB:LoD Unit","AB:Higher_Cut-off","AB:Lower Cut-off","Type of Antigen Test","Other Type of Antigen Test","Name of Antigen Test_1","Name of Antigen Test other","AT:Manufacturer_1","AT:Manufacturer other","AT:Catalog Number","AT:Lot Number","Target Antigen","AT:Sample Type","Other Sample Type AT","AT:Days of Sickness","AT:Total Positive","AT:Total Negative","AT:True Positive","AT:True Negative","AT:Sensitivity","AT:Specificity","AT:Total Positive_early","AT:Total Negative_early","AT:True Negative_early","AT:True Positive_early","AT:Sensitivity_early","AT:Specificity_early","AT:Total Positive_middle","AT:Total Negative_middle","AT:True Positive_middle","AT:True Negative_middle","AT:Sensitivity_middle","AT:Specificity_middle","AT:Total Positive_late","AT:Total Negative_late","AT:True Positive_late","AT:True Negative_late","AT:Sensitivity_late","AT:Specificity_late","AT:Estimated LoD","AT:LoD Unit","Other AT:LoD Unit","AT:Higher Cut-off","AT:Lower Cut-off","Type of Molecular Test","Other Type of Moleculer Test","Name of Molecular Test_2","Name of Molecular Test other","MT:Manufacturer_1","MT:Manufacturer other","MT:Catalog Number","MT:Lot Number","Template Type","RNA Extraction Kit Used","MT:Sample Type","Other Sample Type MT","MT:Days of Sickness","MT:Total Positive","MT:Total Negative","MT:True Positive","MT:True Negative","MT:Sensitivity","MT:Specificity","MT:Total Positive_early","MT:Total Negative_early","MT:True Positive_early","MT:True Negative_early","MT:Sensitivity_early","MT:Specificity_early","MT:Total Positive_middle","MT:Total Negative_middle","MT:True Positive_middle","MT:True Negative_middle","MT:Sensitivity_middle","MT:Specificity_middle","MT:Total Positive_late","MT:Total Negative_late","MT:True Positive_late","MT:True Negative_late","MT:Sensitivity_late","MT:Specificity_late","MT:Estimated LoD","MT:LoD Unit","Other MT:LoD Unit","Ct Value","Results Published","Link to Publication","DOI","Comments"
"a1L1r0000090gOI","a1L1r0000090gOI","Department of Clinical Laboratory - Saitama Medical University","Yes","Hospital","Japan","","","Retrospective set","Nasopharyngeal swabs","","Confirmed COVID-19 patients","","Not available","","RT-PCR","","Undefined method","","Antibody test","Not available","","Not available","","Rapid diagnostic test (RDT)","","Other","One Step Novel Coronavirus (COVID-19) IgM/IgG Antibody Test","Other","Artron Laboratories Inc.","A03-51-322","","IgM","","Serum","","Detection of current infection","","Total; Early (~1-7); Intermediate (~8-14); Late (>14)","139","48","60","47","43.2","98.0","90","","25","","27.8","","25","","12","","48.0","","24","","23","","95.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.medrxiv.org/content/10.1101/2020.04.22.20075564v1.full.pdf","10.1101/2020.04.22.20075564","Specificity was calculated using stored serum samples collected in early 2019"
"a1L1r0000090kCj","a1L1r0000090kCj","Barnes Jewish Hospital Department of Laboratories","Yes","Hospital","United States of America (USA)","","St Louis","Retrospective set","Nasopharyngeal swabs; Oropharyngeal swabs; Other","Lower respiratory specimen","Confirmed COVID-19 patients","","Not available","","RT-PCR","","Commercal kit","Quidel Lyra RT-PCR assay; Xpert Xpress SARS-CoV-2 molecular assay; Simplexa COVID-19 Direct Assay","Antibody test","Not available","","Blinded to reference results","","Other","Electrochemiluminescence immunoassay (ECLIA)","Elecsys Anti‐SARS‐CoV‐2","","Roche","","","","Total Ig","Nucleocapsid protein","Plasma","","Detection of past infection","","Total; Early (~1-7); Intermediate (~8-14); Late (>14)","","153","","151","","98.7","8","32","","","25.0","","23","","15","","65.2","","47","","42","","89.4","","","","","Ratio ≥1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://academic.oup.com/clinchem/advance-article/doi/10.1093/clinchem/hvaa132/5850400","10.1093/clinchem/hvaa132","Controls: symptomatic but PCR negative for SARS-CoV-2; pre-pandemic controls; patients  with  other  coronaviruses confirmed  by  molecular  testing  but  PCR  negative  for  COVID-19;  patients with Influenza A or B; specimens with potentially interfering antibodies"
"a1L1r000008zEPt","a1L1r000008zEP0","Institut Pasteur","Yes","Private Laboratory","France","","Paris","Retrospective set","Nasopharyngeal swabs","","Confirmed COVID-19 patients","","Not available","","RT-PCR","","Commercal kit","SuperScript™ III Platinum® One-Step Quantitative RT-PCR System (Réf. Invitrogen 1732-020)","Molecular test","Other","High concentration pools: tested once; Low/neg concentration pools: tested in triplicate","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Manual PCR","","genesig Real-Time PCR COVID-19","","Novacyt/primerdesign","","","","Frozen RNA","Extraction NucleoSpin Dx Virus (Réf. Macherey Nagel 740895.50)","Nasopharyngeal swabs","","Not available","8","1","8","1","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.sfm-microbiologie.org/wp-content/uploads/2020/04/RESULTATS-genesig.pdf","","Serial dilution of pooled samples"
"a1L1r0000090gKV","a1L1r0000090gKV","Centre National de Référence (CNR) Virus des Infections Respiratoires","Yes","Public Health","France","","Paris","Retrospective set","Nasopharyngeal swabs","","Confirmed COVID-19 patients","","Not available","","RT-PCR","","Commercal kit","SuperScript™ III Platinum® One-Step Quantitative RT-PCR System (Réf. Invitrogen 1732-020).","Molecular test","Other","High concentration pools: tested once; Low/neg concentration pools: tested in triplicate","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Manual PCR","","Other","Bio-T kit Covid-19","Other","biosellal","","","Frozen RNA","Extraction NucleoSpin Dx Virus (Réf. Macherey Nagel 740895.50)","Nasopharyngeal swabs","","Not available","8","","8","","","","","","","","","","","","","","","","","","","","","","","","","37.4","Yes","https://www.sfm-microbiologie.org/2020/04/03/covid-19/","","Ct value reported for most dilute pool

Amplification on ABI 7500 Fast

One target only"
"a1L1r0000090gL9","a1L1r0000090gL9","Centre for Drugs and Diagnostics, Liverpool School of Tropical Medicine","Yes","Hospital","Great Britain","","London","Prospectively collected set","Nasopharyngeal swabs","","Confirmed COVID-19 patients","","Not available","","RT-PCR","","Commercal kit","Altona Diagnostics RealStar®SARS-CoV-2 RT-PCR Kit","Antibody test","No replicates","","Not blinded to reference results","","Enzyme-linked immunosorbent assay (ELISA)","","SARS-CoV-2 ELISA Serology","","Mologic Ltd","","","","IgG","","Serum","","Not available","","Total","270","564","238","549","88.0","97.0","31","","23","","74.0","","32","","25","","78.0","","162","","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.medrxiv.org/content/10.1101/2020.04.29.20082099v1.full.pdf","10.1101/2020.04.29.20082099","Note, manufacturer is among authors.

Sensitivity: Total SARS-CoV-2 positive samples ranging from day 0 - 42 post laboratory diagnosis with RT-PCR

Specificity: Total SARS-CoV-2 negative samples ranging from 2018 - 2019"
"a1L1r0000090gLs","a1L1r0000090gLs","Centre National de Référence (CNR) Virus des Infections Respiratoires","Yes","Public Health","France","","Paris","Retrospective set","Nasopharyngeal swabs","","Confirmed COVID-19 patients","","Not available","","RT-PCR","","Commercal kit","SuperScript™ III Platinum® One-Step Quantitative RT-PCR System (Réf. Invitrogen 1732-020).","Molecular test","Other","High concentration pools: tested once; Low/neg concentration pools: tested in triplicate","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Manual PCR","","Lyra SARS-CoV-2 Assay","","Quidel","","","","Frozen RNA","Extraction NucleoSpin Dx Virus (Réf. Macherey Nagel 740895.50)","Nasopharyngeal swabs","","Not available","8","1","6","0","","","","","","","","","","","","","","","","","","","","","","","","27.7","Yes","https://www.sfm-microbiologie.org/wp-content/uploads/2020/04/Rapport_Lyra-Quidel_VE200416.pdf","","Ct value reported for lowest detectable concentration of pooled sample

Amplification: ABI 7500 (also with LightCycler 480, but lower sensitivity)"
"a1L1r0000090gKk","a1L1r0000090gKk","Centre National de Référence (CNR) Virus des Infections Respiratoires","Yes","Public Health","France","","Paris","Retrospective set","Nasopharyngeal swabs","","Confirmed COVID-19 patients","","Not available","","RT-PCR","","Commercal kit","SuperScript™ III Platinum® One-Step Quantitative RT-PCR System (Réf. Invitrogen 1732-020).","Molecular test","Other","High concentration pools: tested once; Low/neg concentration pools: tested in triplicate","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Manual PCR","","Other","iLAMP Novel-CoV19 Test Kit","Other","ionebio","","","Frozen RNA","Extraction NucleoSpin Dx Virus (Réf. Macherey Nagel 740895.50)","Nasopharyngeal swabs","","Not available","8","1","3","1","","","","","","","","","","","","","","","","","","","","","","","","29.2","Yes","https://www.sfm-microbiologie.org/2020/04/03/covid-19/","","Ct value reported for lowest concentration pooled sample detected"
"a1L1r0000090gM7","a1L1r0000090gM7","Centre National de Référence (CNR) Virus des Infections Respiratoires","Yes","Public Health","France","","Paris","Retrospective set","Nasopharyngeal swabs","","Confirmed COVID-19 patients","","Not available","","RT-PCR","","Commercal kit","SuperScript™ III Platinum® One-Step Quantitative RT-PCR System (Réf. Invitrogen 1732-020).","Molecular test","Other","High concentration pools: tested once; Low/neg concentration pools: tested in triplicate","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Manual PCR","","Corona Virus Disease 2019 (COVID-19) Nucleic Acid Detection Kit","","Other","EXCILONE SARL","","","Frozen RNA","Extraction NucleoSpin Dx Virus (Réf. Macherey Nagel 740895.50)","Nasopharyngeal swabs","","Not available","8","1","7","1","","","","","","","","","","","","","","","","","","","","","","","","31.7","Yes","https://www.sfm-microbiologie.org/2020/04/03/covid-19/","","Ct value reported for lowest detectable concentration of pooled sample

Amplification by LightCycler 480 II outperformed ABI 7500; results here given for LightCycler 480 II"
"a1L1r0000090hof","a1L1r0000090hiH","Institute for Medical Virology, University Hospital, Goethe University","Yes","Hospital","Germany","","Frankfurt","Prospectively collected set","Other","Not available","Confirmed COVID-19 patients","","Moderate; Severe","","RT-PCR","","Undefined method","","Antibody test","Not available","","Not available","","Rapid diagnostic test (RDT)","","COVID-19 IgG/IgM Rapid Test Device","","Assure Tech. (Hangzhou) Co., Ltd","","COV-W32M","","IgG; IgM","","Plasma; Serum","","Detection of current infection","","Total; Early (~1-7); Intermediate (~8-14)","32","13","25","13","","100.0","16","","10","","62.5","","16","","15","","93.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.biorxiv.org/content/biorxiv/early/2020/05/10/2020.05.08.085506.full.pdf","10.1101/2020.05.08.085506","Control: samples of individuals with selected PCR- or serologically-confirmed infections"
"a1L1r0000090meV","a1L1r0000090mQJ","Lancet Laboratories","Yes","Private Laboratory","South Africa","","","Retrospective set","Other","Respiratory specimen","Confirmed COVID-19 patients","","Mild; Moderate; Severe","","RT-PCR","","Commercal kit","Combinations of Roche, Abbott and Seegene depending on the availability of reagents","Antibody test","No replicates","","Blinded to reference results","","Enzyme-linked immunosorbent assay (ELISA)","","Elecsys Anti‐SARS‐CoV‐2","","Roche","","","49629801","IgG","Nucleocapsid protein; Spike protein","Serum","","Detection of current infection; Detection of past infection","","Total; Early (~1-7); Intermediate (~8-14); Late (>14)","","79","","79","","100.0","30","","6","","20.0","","19","","10","","52.6","","38","","34","","89.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","Controls: Pre-pandemic controls"
"a1L1r0000090mdw","a1L1r0000090mQJ","Lancet Laboratories","Yes","Private Laboratory","South Africa","","","Retrospective set","Other","Respiratory specimen","Confirmed COVID-19 patients","","Mild; Moderate; Severe","","RT-PCR","","Commercal kit","Combinations of Roche, Abbott and Seegene depending on the availability of reagents","Antibody test","No replicates","","Blinded to reference results","","Enzyme-linked immunosorbent assay (ELISA)","","COV19G.CE - ELISA COVID 19 IgG","","DIA PRO Diagnostic BioProbes Srl","","","0320","IgG","Nucloecapsid protein; Spike protein","Serum","","Detection of current infection; Detection of past infection","","Total; Early (~1-7); Intermediate (~8-14); Late (>14)","","17","","17","","100.0","2","","1","","50.0","","8","","3","","37.5","","16","","14","","87.5","","","","","S/CO > 1.1","S/CO < 0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","Controls: Pre-pandemic controls"
"a1L1r0000090meQ","a1L1r0000090mQJ","Lancet Laboratories","Yes","Private Laboratory","South Africa","","","Retrospective set","Other","Respiratory specimen","Confirmed COVID-19 patients","","Mild; Moderate; Severe","","RT-PCR","","Commercal kit","Combinations of Roche, Abbott and Seegene depending on the availability of reagents","Antibody test","No replicates","","Blinded to reference results","","Enzyme-linked immunosorbent assay (ELISA)","","NovaLisa® COVID-19 (SARS-CoV-2) IgM","","NovaTec Immundiagnostica GmbH","","","COVM-014","IgM","","Serum","","Detection of current infection; Detection of past infection","","Total; Early (~1-7); Intermediate (~8-14); Late (>14)","","28","","26","","92.9","2","","1","","50.0","","8","","2","","25.0","","22","","8","","","","","","",">11 NTU","< 9 NTU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","Controls: Pre-pandemic controls"
"a1L1r000008zDC0","a1L1r000008zBw7","Renmin Hospital of Wuhan University","Yes","Hospital","China","","Wuhan","Retrospective set","Other","Not available","Confirmed COVID-19 patients","","Moderate; Severe; Critical","","Clinical examination; Computed Tomography (CT); RT-PCR","","Undefined method","","Antibody test","Not available","","Not available","","Other","Not available","Other","SARS-CoV-2 antibody detection kit","Shenzhen Yhlo Biotech Co. Ltd","","","","IgG","","Serum","","Detection of current infection","","Not available","133","0","129","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.medrxiv.org/content/10.1101/2020.03.28.20045765v1","10.1101/2020.03.28.20045765",""
"a1L1r0000090jic","a1L1r000008zCB7","Viroscience Erasmus MC","Yes","Hospital","Netherlands","","Rotterdam","Prospectively collected set","Serum","","Confirmed COVID-19 patients","","Mild; Moderate; Severe","","RT-PCR","","Undefined method","","Antibody test","No replicates","","Not available","","Rapid diagnostic test (RDT)","","COVID-19 IgG/IgM Rapid Test","","Zhejiang Orient Gene Biotech","","","2003260","IgG; IgM","Nucleocapsid protein","Serum","","Detection of current infection; Detection of past infection","","Total; Early (~1-7); Intermediate (~8-14); Late (>14)","96","99","87","89","90.6","89.9","21","","15","","","","44","","41","","","","31","","31","","100.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","Each sample was tested by one test and interpreted by two operators in parallel from Erasmus MC."
"a1L1r0000090jim","a1L1r000008zCB7","Viroscience Erasmus MC","Yes","Hospital","Netherlands","","Rotterdam","Prospectively collected set","Serum","","Confirmed COVID-19 patients","","Mild; Moderate; Severe","","RT-PCR","","Undefined method","","Antibody test","No replicates","","Not available","","Rapid diagnostic test (RDT)","","Cellex qSARS-CoV-2 IgGIgM Cassette Rapid Test","","Cellex Inc.","","","20200311WI5513C-3","IgG","Nucleocapsid protein","Serum","","Detection of current infection; Detection of past infection","","Total; Late (>14)","","99","","98","","99.0","","","","","","","","","","","","","31","","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","Each sample was tested by one test and interpreted by two operators in parallel from Erasmus MC."
"a1L1r0000090jih","a1L1r000008zCB7","Viroscience Erasmus MC","Yes","Hospital","Netherlands","","Rotterdam","Prospectively collected set","Serum","","Confirmed COVID-19 patients","","Mild; Moderate; Severe","","RT-PCR","","Undefined method","","Antibody test","No replicates","","Not available","","Rapid diagnostic test (RDT)","","COVID-19 IgG/IgM Rapid Test","","Zhejiang Orient Gene Biotech","","","2003260","IgG","Nucleocapsid protein","Serum","","Detection of current infection; Detection of past infection","","Total; Late (>14)","","99","","98","","99.0","","","","","","","","","","","","","31","","31","","100.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","Each sample was tested by one test and interpreted by two operators in parallel from Erasmus MC."
"a1L1r000008zEFA","a1L1r000008zEDJ","University of California","Yes","Other","United States of America (USA)","","San Francisco","Retrospective set","Nasopharyngeal swabs; Oropharyngeal swabs","","Confirmed COVID-19 patients","","","","RT-PCR","","Undefined method","","Antibody test","Other","Interpretation by two independent readers","Blinded to reference results","","Rapid diagnostic test (RDT)","","PerfectPOC Novel Corona Virus (SARS-CoV-2) IgM/IgG Rapid Test Kit","","Jiangsu Bioperfectus Technologies Co. Ltd","","SC30201W","20200313, 20200313, 20210312","IgG","Spike protein receptor binding domain","Plasma; Serum","","Detection of current infection; Detection of past infection","","Total; Early (~1-7); Intermediate (~8-14); Late (>14)","128","104","80","102","","98.1","27","104","7","","","","70","104","50","","","","31","104","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","https://covidtestingproject.org/","","Extra diluent necessary"
"a1L1r000008zEDJ","a1L1r000008zEDJ","University of California","Yes","Other","United States of America (USA)","","San Francisco","Retrospective set","Nasopharyngeal swabs; Oropharyngeal swabs","","Confirmed COVID-19 patients","","","","RT-PCR","","Undefined method","","Antibody test","Other","Interpretation by two independent readers","Blinded to reference results","","Rapid diagnostic test (RDT)","","COVID-19 IgM-IgG Dual Antibody Rapid Test","","BioMedomics, Inc.","","51-002-20","2020032103","IgM","Spike protein receptor binding domain","Plasma; Serum","","Detection of current infection; Detection of past infection","","Total; Early (~1-7); Intermediate (~8-14); Late (>14)","128","107","79","94","","87.9","26","107","7","","26.9","","70","107","47","","","","32","107","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","https://covidtestingproject.org/","","Some control band inconsistency"
"a1L1r000008zEFP","a1L1r000008zEDJ","University of California","Yes","Other","United States of America (USA)","","San Francisco","Retrospective set","Nasopharyngeal swabs; Oropharyngeal swabs","","Confirmed COVID-19 patients","","","","RT-PCR","","Undefined method","","Antibody test","Other","Interpretation by two independent readers","Blinded to reference results","","Rapid diagnostic test (RDT)","","Other","Novel Coronavirus (SARSCoV-2) IgM/IgG Combo Rapid Test-Cassette","Other","Decombio Biotechnology Co Ltd.","","","IgG; IgM","","Plasma; Serum","","Detection of current infection; Detection of past infection","","Total; Early (~1-7); Intermediate (~8-14); Late (>14)","126","107","85","96","","89.7","25","107","8","","","","70","107","53","","","","31","107","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","https://covidtestingproject.org/","","Some control band inconsistency"
"a1L1r000008zEGw","a1L1r000008zEDJ","University of California","Yes","Other","United States of America (USA)","","San Francisco","Retrospective set","Nasopharyngeal swabs; Oropharyngeal swabs","","Confirmed COVID-19 patients","","","","RT-PCR","","Undefined method","","Antibody test","Other","Interpretation by two independent readers","Blinded to reference results","","Rapid diagnostic test (RDT)","","SARS-CoV-2 IgM/IgG Ab Rapid Test","","Sure Bio-Tech (USA) Co., Ltd","","VC012103","COV125200 3B","IgG; IgM","Nucleocapsid protein; Spike protein","Plasma; Serum","","Detection of current infection; Detection of past infection","","Total; Early (~1-7); Intermediate (~8-14); Late (>14)","129","108","74","108","","100.0","27","108","5","","","","70","108","44","","","","32","108","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","https://covidtestingproject.org/","",""
"a1L1r000008zEE7","a1L1r000008zDdY","Centre National de Référence (CNR) des virus des infections respiratoires","Yes","Public Health","France","","Lyon","Retrospective set","Nasopharyngeal swabs; Other","Deep respiratory specimen","Confirmed COVID-19 patients","","Not available","","RT-PCR","","Commercal kit","SuperScript™ III Platinum® One-Step Quantitative RT-PCR System (Ref: Invitrogen
1732-020)","Molecular test","No replicates","","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Manual PCR","","RealStar® SARS-CoV-2 RT-PCR Kit","","altona Diagnostics","","821003","","Fresh RNA extracted","","Nasopharyngeal swabs; Other","Deep respiratory specimen","Not available","8","2","7","2","","","","","","","","","","","","","","","","","","","","","","","","35.0","Yes","https://www.sfm-microbiologie.org/2020/04/03/covid-19/","",""
"a1L1r000008zEF1","a1L1r000008zEDJ","University of California","Yes","Other","United States of America (USA)","","San Francisco","Retrospective set","Nasopharyngeal swabs; Oropharyngeal swabs","","Confirmed COVID-19 patients","","","","RT-PCR","","Undefined method","","Antibody test","Other","Interpretation by two independent readers","Blinded to reference results","","Rapid diagnostic test (RDT)","","2019-nCoV Ab Test (Colloidal Gold) (IgM/IgG Whole Blood/Serum/Plasma Combo)","","Innovita Biological Technology Co. Ltd","","","20200304","IgG","Nucleocapsid protein; Spike protein","Plasma; Serum","","Detection of current infection; Detection of past infection","","Total; Early (~1-7); Intermediate (~8-14); Late (>14)","116","108","62","108","","100.0","27","108","7","","","","69","108","42","","","","20","108","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","https://covidtestingproject.org/","","Some band smearing"
"a1L1r000008zEGh","a1L1r000008zEDJ","University of California","Yes","Other","United States of America (USA)","","San Francisco","Retrospective set","Nasopharyngeal swabs; Oropharyngeal swabs","","Confirmed COVID-19 patients","","","","RT-PCR","","Undefined method","","Antibody test","Other","Interpretation by two independent readers","Blinded to reference results","","Rapid diagnostic test (RDT)","","SARS-CoV-2 IgM/IgG Ab Rapid Test","","Sure Bio-Tech (USA) Co., Ltd","","VC012103","COV125200 3B","IgM","Nucleocapsid protein; Spike protein","Plasma; Serum","","Detection of current infection; Detection of past infection","","Total; Early (~1-7); Intermediate (~8-14); Late (>14)","129","108","62","108","","100.0","27","108","3","","","","70","108","37","","","","32","108","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","https://covidtestingproject.org/","",""
"a1L1r000008zEE2","a1L1r000008zDdY","Centre National de Référence (CNR) des virus des infections respiratoires","Yes","Public Health","France","","Lyon","Retrospective set","Nasopharyngeal swabs; Other","Deep respiratory specimen","Confirmed COVID-19 patients","","Not available","","RT-PCR","","Commercal kit","SuperScript™ III Platinum® One-Step Quantitative RT-PCR System (Ref: Invitrogen
1732-020) or COBAS","Molecular test","No replicates","","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Integrated system","","Other","VitaPCR™ SARS-CoV-2 Assay","Other","BIOSYNEX S.A.","","","Specimen without RNA extraction","","Nasopharyngeal swabs; Other","Deep respiratory specimen","Not available","8","3","3","3","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.sfm-microbiologie.org/2020/04/03/covid-19/","",""
"a1L1r000008zEFo","a1L1r000008zEDJ","University of California","Yes","Other","United States of America (USA)","","San Francisco","Retrospective set","Nasopharyngeal swabs; Oropharyngeal swabs","","Confirmed COVID-19 patients","","","","RT-PCR","","Undefined method","","Antibody test","Other","Interpretation by two independent readers","Blinded to reference results","","Rapid diagnostic test (RDT)","","Other","COVID-19 (SARS-CoV-2) IgG/IgM Antibody Test Kit (Colloidal Gold)","Other","DeepBlue Medical Technology Co Ltd.","","20200305","IgG","","Plasma; Serum","","Detection of current infection; Detection of past infection","","Total; Early (~1-7); Intermediate (~8-14); Late (>14)","130","108","69","107","","99.1","27","108","6","","","","71","108","39","","","","32","108","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","https://covidtestingproject.org/","","Extra diluent necessary,
Some control band inconsistency"
"a1L1r000008zEDi","a1L1r000008zDdY","Centre National de Référence (CNR) des virus des infections respiratoires","Yes","Public Health","France","","Lyon","Retrospective set","Nasopharyngeal swabs; Other","Deep respiratory specimen","Confirmed COVID-19 patients","","Not available","","RT-PCR","","Commercal kit","SuperScript™ III Platinum® One-Step Quantitative RT-PCR System (Ref: Invitrogen
1732-020)","Molecular test","No replicates","","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Integrated system","","SARS-COV-2 R-GENE® (ref 423717)","","bioMérieux SA","","423717","","Specimen without RNA extraction","","Nasopharyngeal swabs; Other","Deep respiratory specimen","Not available","6","3","6","3","","","","","","","","","","","","","","","","","","","","","","","","35.0","Yes","https://www.sfm-microbiologie.org/2020/04/03/covid-19/","",""
